epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4418.03,1.17165,0.84687,1.45939,0.87323,0.74019,0.82322,0.49465,1.28587,0.81564,1.4456,0.000803876,0.000803876,0.000803876
43,4546.41,1.18463,0.83986,1.45441,0.88175,0.8082,0.85194,0.4834,1.3161,0.81774,1.47317,0.000785127,0.000785127,0.000785127
44,4651.86,1.17207,0.83416,1.43938,0.89966,0.79424,0.84231,0.4883,1.26967,0.77964,1.43254,0.000766226,0.000766226,0.000766226
45,4753.43,1.15286,0.83641,1.43013,0.83822,0.82168,0.84581,0.50694,1.21687,0.80757,1.40717,0.000747192,0.000747192,0.000747192
46,4853.48,1.15359,0.82423,1.43593,0.87893,0.75816,0.8273,0.50129,1.16511,0.81959,1.38554,0.000728044,0.000728044,0.000728044
47,4952.55,1.1626,0.84074,1.4356,0.87547,0.81323,0.84459,0.50606,1.22079,0.80139,1.39361,0.0007088,0.0007088,0.0007088
48,5052.01,1.1476,0.82843,1.42841,0.85279,0.7393,0.81036,0.48028,1.26668,0.82011,1.43997,0.00068948,0.00068948,0.00068948
49,5153.68,1.12641,0.81237,1.41131,0.82816,0.77059,0.81264,0.49067,1.19919,0.79776,1.41467,0.000670102,0.000670102,0.000670102
50,5253.57,1.14452,0.80845,1.42248,0.91305,0.7543,0.83958,0.50834,1.22769,0.7965,1.41184,0.000650685,0.000650685,0.000650685
51,5352.82,1.13037,0.79927,1.42267,0.85375,0.79279,0.84335,0.53284,1.15605,0.75322,1.38068,0.00063125,0.00063125,0.00063125
52,5451.59,1.12083,0.78978,1.40585,0.88053,0.77257,0.83141,0.51344,1.19923,0.74094,1.39781,0.000611815,0.000611815,0.000611815
53,5550.66,1.12188,0.79555,1.41854,0.89418,0.79738,0.84083,0.5026,1.23109,0.77001,1.41307,0.000592398,0.000592398,0.000592398
54,5650.52,1.12336,0.7716,1.41566,0.85377,0.76817,0.81131,0.49779,1.1342,0.75304,1.36199,0.00057302,0.00057302,0.00057302
55,5750.09,1.10827,0.76764,1.40036,0.86365,0.78128,0.82988,0.50875,1.27051,0.76646,1.44327,0.0005537,0.0005537,0.0005537
56,5850.35,1.10505,0.78084,1.40081,0.90146,0.79646,0.8505,0.54528,1.13349,0.7014,1.35292,0.000534456,0.000534456,0.000534456
57,5949.94,1.10216,0.76667,1.39202,0.92771,0.78653,0.85144,0.54357,1.15952,0.72331,1.37801,0.000515308,0.000515308,0.000515308
58,6049.76,1.09837,0.77038,1.38643,0.9139,0.79351,0.85179,0.52681,1.19282,0.71328,1.38027,0.000496274,0.000496274,0.000496274
59,6150.36,1.08657,0.74894,1.38207,0.89556,0.7702,0.84605,0.51704,1.1739,0.70886,1.37883,0.000477373,0.000477373,0.000477373
60,6250.04,1.07458,0.75244,1.37518,0.88822,0.81977,0.84581,0.53433,1.1077,0.7002,1.3562,0.000458624,0.000458624,0.000458624
61,6349.03,1.06845,0.75566,1.37624,0.88856,0.83696,0.85374,0.53599,1.12069,0.69483,1.34524,0.000440046,0.000440046,0.000440046
62,6448.76,1.06807,0.75069,1.37794,0.91522,0.7878,0.84307,0.53476,1.1163,0.70051,1.33919,0.000421656,0.000421656,0.000421656
63,6546.84,1.05928,0.73283,1.35714,0.87216,0.81171,0.84784,0.52508,1.16787,0.71674,1.37655,0.000403473,0.000403473,0.000403473
64,6640.26,1.05352,0.73426,1.3594,0.91332,0.7711,0.84679,0.53328,1.10781,0.7095,1.34199,0.000385515,0.000385515,0.000385515
65,6733.97,1.06346,0.73947,1.37016,0.89,0.77103,0.82324,0.52961,1.12141,0.70237,1.34286,0.000367799,0.000367799,0.000367799
66,6827.88,1.06771,0.73853,1.36853,0.90683,0.76071,0.8211,0.52429,1.14289,0.72943,1.33792,0.000350343,0.000350343,0.000350343
67,6921.67,1.04869,0.72616,1.35809,0.86952,0.79963,0.83672,0.53712,1.1889,0.70278,1.36584,0.000333165,0.000333165,0.000333165
68,7015,1.05024,0.71446,1.35872,0.91452,0.76424,0.83558,0.52072,1.14127,0.7331,1.35363,0.000316281,0.000316281,0.000316281
69,7112.46,1.032,0.71631,1.34245,0.89607,0.78715,0.84116,0.53714,1.11894,0.68732,1.33601,0.000299707,0.000299707,0.000299707
70,7205.93,1.04658,0.71174,1.35016,0.89365,0.76293,0.82842,0.53646,1.08118,0.6876,1.32221,0.000283461,0.000283461,0.000283461
71,7298.84,1.02439,0.68624,1.33926,0.89744,0.78518,0.83227,0.53274,1.07945,0.68913,1.3047,0.000267558,0.000267558,0.000267558
72,7392.77,1.03137,0.69407,1.34273,0.88456,0.82751,0.83777,0.52633,1.12466,0.68947,1.33059,0.000252014,0.000252014,0.000252014
73,7487.7,1.02303,0.6981,1.3302,0.93218,0.78151,0.85624,0.53282,1.11047,0.68932,1.31882,0.000236844,0.000236844,0.000236844
74,7581.85,1.02136,0.69213,1.34459,0.87703,0.82805,0.85762,0.53945,1.07688,0.67301,1.3165,0.000222063,0.000222063,0.000222063
75,7681.68,1.00695,0.68877,1.32104,0.91044,0.8008,0.84593,0.54044,1.09532,0.6728,1.31165,0.000207686,0.000207686,0.000207686
76,7791.66,1.01106,0.67862,1.33062,0.90359,0.80725,0.85188,0.54389,1.10035,0.6571,1.32674,0.000193728,0.000193728,0.000193728
77,7891.74,1.0016,0.66151,1.31946,0.91485,0.79003,0.84843,0.53822,1.07846,0.68055,1.31429,0.000180201,0.000180201,0.000180201
78,7993.05,1.00287,0.67848,1.32368,0.91465,0.83633,0.86676,0.55231,1.04551,0.6501,1.28803,0.000167119,0.000167119,0.000167119
79,8094.59,0.98888,0.6613,1.30686,0.9021,0.79039,0.83682,0.52669,1.10702,0.6678,1.31281,0.000154495,0.000154495,0.000154495
80,8212.31,0.98618,0.66289,1.31146,0.92432,0.78526,0.85186,0.53864,1.08145,0.66242,1.30331,0.000142342,0.000142342,0.000142342
81,8331.65,0.99849,0.66189,1.31946,0.9195,0.79242,0.84701,0.54555,1.03691,0.65835,1.29068,0.000130671,0.000130671,0.000130671
82,8446.4,0.98506,0.65755,1.3072,0.91489,0.79228,0.84388,0.53236,1.07971,0.66708,1.30584,0.000119494,0.000119494,0.000119494
83,8551.04,0.98071,0.66228,1.30952,0.92217,0.78646,0.84939,0.54003,1.06124,0.67421,1.29897,0.000108822,0.000108822,0.000108822
84,8647.92,0.98643,0.67049,1.31353,0.90412,0.80352,0.84419,0.5427,1.05516,0.65727,1.29242,9.86659e-05,9.86659e-05,9.86659e-05
85,8741.87,0.98807,0.66422,1.3078,0.90901,0.7983,0.85195,0.54374,1.06925,0.64389,1.29941,8.90352e-05,8.90352e-05,8.90352e-05
86,8891.75,0.94722,0.53941,1.21358,0.90813,0.80417,0.83982,0.53953,1.05029,0.67238,1.31193,7.99397e-05,7.99397e-05,7.99397e-05
87,8985.79,0.94987,0.51996,1.216,0.90994,0.80334,0.84596,0.53836,1.06762,0.66179,1.31072,7.13883e-05,7.13883e-05,7.13883e-05
88,9079.03,0.93203,0.51828,1.20939,0.91543,0.77349,0.84019,0.53451,1.05814,0.65999,1.30202,6.33893e-05,6.33893e-05,6.33893e-05
89,9175.41,0.93158,0.51213,1.2027,0.93478,0.78597,0.85067,0.54531,1.05455,0.65109,1.29833,5.59508e-05,5.59508e-05,5.59508e-05
90,9279.7,0.93236,0.5188,1.20444,0.91347,0.80852,0.84909,0.54384,1.04142,0.65452,1.29263,4.908e-05,4.908e-05,4.908e-05
91,9392.82,0.94007,0.51909,1.20148,0.93162,0.79581,0.85133,0.54672,1.04898,0.65552,1.2953,4.27838e-05,4.27838e-05,4.27838e-05
92,9494.06,0.93555,0.51956,1.20585,0.92381,0.78564,0.848,0.54102,1.04551,0.65606,1.29365,3.70683e-05,3.70683e-05,3.70683e-05
93,9586.75,0.92749,0.51378,1.19355,0.88409,0.80358,0.85181,0.54872,1.04298,0.64677,1.29059,3.19392e-05,3.19392e-05,3.19392e-05
94,9680.01,0.91645,0.51274,1.1914,0.93333,0.77028,0.85325,0.54321,1.04659,0.64902,1.29376,2.74015e-05,2.74015e-05,2.74015e-05
95,9772.52,0.92669,0.5008,1.19413,0.93324,0.78196,0.85029,0.54226,1.04033,0.65115,1.29071,2.34598e-05,2.34598e-05,2.34598e-05
96,9866.25,0.9397,0.51113,1.19795,0.93723,0.77787,0.85213,0.54636,1.04173,0.64782,1.29005,2.01178e-05,2.01178e-05,2.01178e-05
97,9959.28,0.90645,0.49815,1.17295,0.93394,0.77918,0.85115,0.54275,1.02746,0.64112,1.28728,1.7379e-05,1.7379e-05,1.7379e-05
98,10052,0.92407,0.50897,1.19345,0.9351,0.78547,0.85016,0.54102,1.03447,0.6444,1.29065,1.5246e-05,1.5246e-05,1.5246e-05
99,10146.9,0.91991,0.50777,1.19021,0.92267,0.79464,0.85124,0.54484,1.03326,0.64047,1.29218,1.3721e-05,1.3721e-05,1.3721e-05
100,10240.7,0.92254,0.50679,1.19268,0.92385,0.79488,0.84728,0.5425,1.03535,0.64506,1.29025,1.28053e-05,1.28053e-05,1.28053e-05
