epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2515.07,1.11102,0.78727,1.31483,0.91273,0.67582,0.79789,0.51398,1.11141,0.75082,1.2799,0.000803876,0.000803876,0.000803876
43,2579.9,1.10503,0.78316,1.30443,0.86104,0.77296,0.82566,0.51864,1.07963,0.73997,1.25974,0.000785127,0.000785127,0.000785127
44,2645.23,1.09688,0.7766,1.29858,0.87773,0.77851,0.83652,0.5237,1.09028,0.70594,1.26504,0.000766226,0.000766226,0.000766226
45,2710.64,1.08587,0.75619,1.2897,0.85966,0.78102,0.83187,0.52445,1.14271,0.71011,1.25471,0.000747192,0.000747192,0.000747192
46,2778.17,1.08761,0.77332,1.29713,0.90477,0.79804,0.84931,0.52983,1.07327,0.70376,1.27561,0.000728044,0.000728044,0.000728044
47,2847.61,1.08204,0.75486,1.29082,0.88853,0.79324,0.86318,0.52329,1.11416,0.68765,1.26159,0.0007088,0.0007088,0.0007088
48,2916.71,1.0901,0.74937,1.29032,0.86888,0.791,0.83299,0.51005,1.1561,0.69784,1.27875,0.00068948,0.00068948,0.00068948
49,2983.72,1.0718,0.73487,1.2777,0.82171,0.79326,0.81239,0.50188,1.08357,0.74366,1.26046,0.000670102,0.000670102,0.000670102
50,3049.49,1.08112,0.74915,1.29453,0.84651,0.76732,0.83494,0.51972,1.07976,0.73302,1.27847,0.000650685,0.000650685,0.000650685
51,3116.17,1.05702,0.73582,1.28391,0.86762,0.80735,0.87194,0.53248,1.1229,0.66657,1.26411,0.00063125,0.00063125,0.00063125
52,3187.4,1.06175,0.74147,1.2745,0.86817,0.78844,0.84776,0.54345,1.04077,0.65706,1.23956,0.000611815,0.000611815,0.000611815
53,3255.23,1.05125,0.72798,1.2728,0.8903,0.79039,0.86114,0.54633,1.02787,0.66806,1.24143,0.000592398,0.000592398,0.000592398
54,3321.19,1.05258,0.72053,1.26663,0.88812,0.77143,0.84896,0.52494,1.07357,0.71237,1.25421,0.00057302,0.00057302,0.00057302
55,3389.97,1.05372,0.7144,1.26969,0.92849,0.79211,0.86538,0.52759,1.13815,0.64326,1.27215,0.0005537,0.0005537,0.0005537
56,3453.33,1.05342,0.70934,1.27698,0.90885,0.7759,0.86228,0.54092,1.03315,0.67026,1.22507,0.000534456,0.000534456,0.000534456
57,3514.49,1.03698,0.70695,1.26193,0.90036,0.75835,0.85247,0.53693,1.05139,0.69281,1.24868,0.000515308,0.000515308,0.000515308
58,3577.54,1.02483,0.7002,1.25623,0.87681,0.81587,0.84842,0.54236,1.02978,0.66411,1.23078,0.000496274,0.000496274,0.000496274
59,3643.19,1.01162,0.68734,1.24592,0.8596,0.85266,0.85096,0.54088,1.04561,0.66025,1.23314,0.000477373,0.000477373,0.000477373
60,3712.66,1.02307,0.68962,1.25559,0.87094,0.81831,0.8519,0.53669,1.09081,0.67638,1.25991,0.000458624,0.000458624,0.000458624
61,3782.98,1.0107,0.69021,1.23936,0.93438,0.7764,0.86604,0.53735,1.0407,0.62696,1.23796,0.000440046,0.000440046,0.000440046
62,3853.54,1.00748,0.66978,1.24254,0.90601,0.80748,0.86731,0.53803,1.0389,0.6289,1.22771,0.000421656,0.000421656,0.000421656
63,3921.99,0.99932,0.67079,1.23856,0.90575,0.79487,0.84671,0.54657,0.99396,0.63247,1.20437,0.000403473,0.000403473,0.000403473
64,3997.93,1.01638,0.66686,1.24481,0.88342,0.80299,0.84769,0.52962,1.00771,0.64323,1.22183,0.000385515,0.000385515,0.000385515
65,4068.91,1.00497,0.67259,1.23563,0.91257,0.77886,0.86329,0.54728,1.04825,0.62592,1.20907,0.000367799,0.000367799,0.000367799
66,4142.13,1.00571,0.67432,1.2368,0.92656,0.80882,0.86775,0.55106,1.0152,0.61166,1.22772,0.000350343,0.000350343,0.000350343
67,4214.5,0.97891,0.65987,1.2221,0.87452,0.81194,0.85659,0.54932,1.05226,0.62654,1.23077,0.000333165,0.000333165,0.000333165
68,4285.88,0.99001,0.64671,1.23606,0.91943,0.80778,0.86179,0.55411,1.00479,0.63129,1.22024,0.000316281,0.000316281,0.000316281
69,4357.22,0.96833,0.64149,1.21264,0.85078,0.80502,0.86398,0.55448,0.9905,0.6305,1.20285,0.000299707,0.000299707,0.000299707
70,4427.08,0.96703,0.64773,1.21936,0.9004,0.83184,0.87574,0.56509,0.98451,0.5983,1.20638,0.000283461,0.000283461,0.000283461
71,4499.69,0.97255,0.64952,1.21438,0.88368,0.81666,0.86555,0.56113,0.99341,0.61385,1.21801,0.000267558,0.000267558,0.000267558
72,4571.81,0.96013,0.63609,1.2088,0.94678,0.81665,0.88538,0.57332,0.98215,0.59348,1.21231,0.000252014,0.000252014,0.000252014
73,4642.14,0.95695,0.63365,1.21083,0.90285,0.78725,0.86271,0.5562,0.97476,0.61511,1.20763,0.000236844,0.000236844,0.000236844
74,4712.21,0.96069,0.63139,1.2128,0.87041,0.80931,0.86763,0.55867,1.00191,0.59992,1.22039,0.000222063,0.000222063,0.000222063
75,4781.9,0.95568,0.62835,1.2058,0.90972,0.77714,0.85299,0.54198,1.01293,0.62294,1.22575,0.000207686,0.000207686,0.000207686
76,4849.93,0.94335,0.62068,1.20002,0.89055,0.80934,0.86401,0.55203,0.99252,0.60272,1.21186,0.000193728,0.000193728,0.000193728
77,4920.62,0.93892,0.60692,1.19328,0.87977,0.82712,0.87212,0.55887,0.97767,0.58963,1.20848,0.000180201,0.000180201,0.000180201
78,4990.23,0.9444,0.61787,1.19752,0.90372,0.79959,0.86972,0.55608,0.97214,0.59012,1.21365,0.000167119,0.000167119,0.000167119
79,5056,0.93676,0.61201,1.19044,0.92889,0.80612,0.8685,0.55292,0.99515,0.6109,1.20529,0.000154495,0.000154495,0.000154495
