epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.22,1.6829,2.5384,1.74909,0.63203,0.43986,0.43962,0.22335,1.70508,2.23974,1.8605,0.000412415,0.000412415,0.000412415
2,262.502,1.58607,1.48355,1.66934,0.68252,0.33286,0.37931,0.17292,1.90996,2.67327,2.14056,0.000828879,0.000828879,0.000828879
3,321.764,1.62077,1.47018,1.69757,0.6772,0.37447,0.4245,0.22593,1.76945,3.03786,1.88956,0.00124453,0.00124453,0.00124453
4,379.265,1.58525,1.37402,1.67316,0.58492,0.46539,0.49005,0.22245,1.95721,2.1303,1.97089,0.00124725,0.00124725,0.00124725
5,436.352,1.54799,1.32274,1.63464,0.58217,0.51482,0.53686,0.29233,1.58971,1.60027,1.67682,0.00124512,0.00124512,0.00124512
6,493.37,1.51419,1.275,1.6156,0.6198,0.53488,0.57528,0.3155,1.53454,1.45639,1.68292,0.00124238,0.00124238,0.00124238
7,553.348,1.45285,1.21184,1.57676,0.79007,0.51675,0.62334,0.32532,1.56089,1.27735,1.6687,0.00123904,0.00123904,0.00123904
8,621.464,1.43874,1.18771,1.55398,0.76119,0.54184,0.64296,0.34721,1.6382,1.34356,1.66796,0.0012351,0.0012351,0.0012351
9,688.921,1.38941,1.13908,1.51853,0.6081,0.60268,0.63108,0.32201,1.554,1.17664,1.60771,0.00123056,0.00123056,0.00123056
10,737.674,1.38883,1.10442,1.51136,0.81452,0.68592,0.67906,0.37675,1.44056,1.14843,1.5541,0.00122543,0.00122543,0.00122543
11,787.158,1.36053,1.09737,1.49327,0.67707,0.62753,0.65731,0.35922,1.51583,1.26504,1.55174,0.00121972,0.00121972,0.00121972
12,836.264,1.36714,1.06637,1.49392,0.78519,0.64319,0.72162,0.42514,1.37717,1.04923,1.46974,0.00121342,0.00121342,0.00121342
13,885.159,1.34745,1.07403,1.48198,0.78583,0.69386,0.73596,0.41709,1.43723,1.0697,1.52543,0.00120655,0.00120655,0.00120655
14,934.168,1.32087,1.02446,1.45769,0.74844,0.6764,0.73116,0.41812,1.36673,1.04332,1.44939,0.00119911,0.00119911,0.00119911
15,983.055,1.3185,1.00977,1.44296,0.75609,0.65788,0.71823,0.40864,1.34808,0.96373,1.4409,0.00119111,0.00119111,0.00119111
16,1032.27,1.29234,0.98733,1.44941,0.78939,0.65694,0.71986,0.41263,1.40036,1.01681,1.48151,0.00118256,0.00118256,0.00118256
17,1081.14,1.31197,0.99229,1.45414,0.76273,0.70506,0.75033,0.4551,1.32894,0.9635,1.43438,0.00117346,0.00117346,0.00117346
18,1130.23,1.27614,0.96351,1.42212,0.84184,0.6886,0.75438,0.43384,1.35119,0.89346,1.43504,0.00116383,0.00116383,0.00116383
19,1178.95,1.26009,0.94923,1.42894,0.72161,0.72465,0.75375,0.42088,1.44959,0.99377,1.49598,0.00115368,0.00115368,0.00115368
20,1227.53,1.27203,0.95875,1.42171,0.82275,0.6744,0.76584,0.43857,1.3527,0.92374,1.43075,0.00114301,0.00114301,0.00114301
21,1276.61,1.23536,0.92415,1.39655,0.86621,0.65035,0.74838,0.433,1.39363,0.92078,1.45083,0.00113183,0.00113183,0.00113183
22,1325.47,1.26472,0.9646,1.42259,0.77346,0.67402,0.72721,0.41997,1.38202,0.92918,1.42611,0.00112016,0.00112016,0.00112016
23,1373.97,1.23045,0.93119,1.39559,0.85503,0.72065,0.78161,0.44256,1.372,0.92162,1.43179,0.00110801,0.00110801,0.00110801
24,1422.51,1.2209,0.90799,1.38111,0.81913,0.71292,0.76717,0.4453,1.28988,0.85416,1.42297,0.00109538,0.00109538,0.00109538
25,1471.54,1.21424,0.90744,1.37704,0.85641,0.71472,0.77949,0.43745,1.42865,0.93805,1.47251,0.0010823,0.0010823,0.0010823
